film_id;film_name;note;rating
1;Titanic;Titanic is a 1997 American epic romance and disaster film directed, written, produced, and co-edited by James Cameron.;5
2;Critters 3;Critters 3 is a 1991 American science fiction comedy horror film and the third installment of the Critters franchise, directed by Kristine Peterson.;1
3;The Way of the Warrior;The Way of the Warrior is the first episode from the fourth season of the American syndicated science fiction television series Star Trek: Deep Space Nine;4
4;Godzilla;Godzilla is a 2014 American science fiction monster film directed by Gareth Edwards. It is a reboot;2
5;The Apocalypse;Apocalypse is a biblical telefilm produced for European television;2
6;Tarzan, the Ape Man;Tarzan, the Ape Man is a 1981 American adventure film directed by John Derek and starring Bo Derek, Miles O'Keeffe;3
7;My Kingdom;My Kingdom is a 2001 British crime film directed by Don Boyd and starring Richard Harris, Lynn Redgrave and Jimi Mistry.;2
8;Kaena: The Prophecy;Kaena: The Prophecy (French: Kaena: La prophétie) is a 2003 computer-animated fantasy adventure film.;3
9;Last warrior;Cool movie about middleage;4
